basket_id,items
75,"otherreadymadefoods, othervegetables"
76,"milk, cheese/butter, candy-gum, eidbleherbs"
77,banana/importedfruits
78,"bakery, candy-gum"
79,mushrooms
80,"snacks, softdrinks"
81,"cooky/cakes, koreanbeef"
82,milk
83,banana/importedfruits
84,fruitvegetables
85,"strawberry/peach/, tomato/plum/melon"
86,importedbeef
87,cooky/cakes
88,"harddrinks, hairproducts, kitchen/housedetergents"
89,"kitchen/housedetergents, apple/sweetmelon"
90,"fruitvegetables, rootvegetables, banana/importedfruits"
91,beans
92,"chocolete, eggs, kitchen/housedetergents"
93,laundrydetergent
94,otherreadymadefoods
95,"minorcereals, rootvegetables, beans, instantfoods, laundrydetergent"
96,"milk, otherseafoods, rootvegetables, othervegetables"
97,chinesecabbages
98,"ramen, cooky/cakes"
99,eidbleherbs
100,"livefish, beans, pear/kiwi/grape, apple/sweetmelon, importedbeef"
101,"milk, fruitvegetables, beans, eidbleherbs"
102,"fruitvegetables, eidbleherbs"
103,beans
104,banana/importedfruits
105,banana/importedfruits
106,wastepapers
107,"candy-gum, sweeteners"
108,"harddrinks, koreanchicken"
109,otherreadymadefoods
110,"cheese/butter, fruitvegetables"
111,cosmetics
112,kitchen/housedetergents
113,kitchen/housedetergents
114,"snacks, koreanconfectionary, instantfoods"
115,dryfruits
116,ramen
117,softdrinks
118,otherlivefish
119,bottledfoods
120,snacks
121,"minorcereals, fermentedmilk, apple/sweetmelon"
122,ramen
123,fermentedmilk
124,ready-mademeals
125,noodles
126,harddrinks
127,snacks
128,candy-gum
129,"chilledlivestock, otherlivefish, ketchupandmayoneise"
130,"chilleddairymilks, fermentedmilk"
131,cooky/cakes
132,"otherlivefish, koreanpork"
133,"fermentedmilk, noodles, ramen"
134,banana/importedfruits
135,chilleddairymilks
136,"fruitvegetables, wildvegetables"
137,"eidbleherbs, strawberry/peach/"
138,banana/importedfruits
139,rootvegetables
140,wildvegetables
141,"snacks, cooky/cakes"
142,milk
143,rootvegetables
144,"fermentedmilk, bread"
145,fruitvegetables
146,"icecream, tomato/plum/melon"
147,chilledseafood
148,lattuce
149,coffee
150,eidbleherbs
151,importedbeef
152,"bottledfoods, bakery"
153,bread
154,"fermentedmilk, rootvegetables"
155,otherlivefish
156,otherreadymadefoods
157,eidbleherbs
158,chillednoodles
159,soysaucesandpastes
160,"maincereals, harddrinks"
161,snacks
162,fermentedmilk
163,othervegetables
164,artificialpowders
165,sanitaryproducts
166,"driedfish, mushrooms, eidbleherbs, kitchen/housedetergents"
167,minorcereals
168,"fruitvegetables, harddrinks"
169,fruitvegetables
170,milk
171,"chilleddairymilks, cooky/cakes"
172,"chilleddairymilks, lattuce"
173,milk
174,eidbleherbs
175,softdrinks
176,"fermentedmilk, snacks, fruitvegetables"
177,rootvegetables
178,beans
179,otherlivefish
180,rootvegetables
181,"milk, candy-gum"
182,"mushrooms, softdrinks, bottledfoods, koreanbeef"
183,milk
184,"otherseafoods, banana/importedfruits"
185,beans
186,"bakery, snacks, eidbleherbs"
187,eggs
188,"snacks, eggs"
189,"otherreadymadefoods, artificialpowders"
190,eggs
191,"beans, mushrooms"
192,lattuce
193,"eidbleherbs, koreanchicken"
194,milk
195,"milk, bakery"
196,candy-gum
197,"minorcereals, chilledagriculturalproducts, dentalproducts, koreanpork"
198,pear/kiwi/grape
199,"rootvegetables, othervegetables, beans"
200,chilledlivestock
201,"snacks, fruitvegetables, instantfoods, strawberry/peach/"
202,"minorcereals, bottledfoods"
203,rootvegetables
204,"maincereals, chilledlivestock, otherlivefish, sanitaryproducts"
205,bakery
206,milk
207,artificialpowders
208,"minorcereals, cooky/cakes, fruitvegetables, rootvegetables, beans, cookingoil"
209,"chilledagriculturalproducts, banana/importedfruits"
210,"fermentedmilk, snacks, driedfish, eggs, mushrooms, dryfruits"
211,chilledlivestock
212,hairproducts
213,"icecream, pre-processedmeals"
214,otherlivefish
215,"snacks, softdrinks"
216,"fruitvegetables, rootvegetables, softdrinks"
217,importedbeef
218,tomato/plum/melon
219,"fermentedmilk, cooky/cakes"
220,"chilledlivestock, cooky/cakes, wastepapers"
221,milk
222,harddrinks
223,koreanchicken
224,"fermentedmilk, icecream"
225,ramen
226,bakery
227,harddrinks
228,laundrydetergent
229,"cheese/butter, noodles, processedlivefish, otherseafoods, apple/sweetmelon, otherlivestockmeats"
230,"fruitvegetables, banana/importedfruits"
231,"otherreadymadefoods, ramen, rootvegetables, seasonings"
232,eggs
233,fermentedmilk
234,ketchupandmayoneise
235,harddrinks
236,"otherlivefish, bottledfoods"
237,"chilleddairymilks, milk, fruitvegetables, cookingoil"
238,kitchen/housedetergents
239,bottledfoods
240,"frozendumpling, coffee, laundrydetergent"
241,"chilledseafood, cooky/cakes, chinesecabbages"
242,"otherseafoods, fruitvegetables, harddrinks, sweeteners, banana/importedfruits, koreanbeef"
243,"bottledfoods, instantfoods"
244,eggs
245,dentalproducts
246,banana/importedfruits
247,"milk, eggs, softdrinks"
248,"harddrinks, cookingoil"
249,"chilledseafood, fruitvegetables"
250,beans
251,otherseafoods
252,"eggs, banana/importedfruits"
253,kitchen/housedetergents
254,importedbeef
255,"chocolete, cooky/cakes"
256,rootvegetables
257,"fermentedmilk, snacks"
258,"ramen, cereals, chocolete, pear/kiwi/grape"
259,hairproducts
260,"candy-gum, otherlivefish"
261,"processeddriedfish, hairproducts"
262,"milk, ramen"
263,"otherreadymadefoods, mushrooms"
264,"milk, cookingoil"
265,wildvegetables
266,"milk, snacks, beans, banana/importedfruits"
267,"bakery, eggs, rootvegetables, beans"
268,ramen
269,dryfruits
270,"maincereals, minorcereals"
271,"milk, rootvegetables, eidbleherbs, tomato/plum/melon"
272,fruitvegetables
273,"fermentedmilk, livefish, fruitvegetables, cookingoil"
274,"ramen, fruitvegetables, rootvegetables, softdrinks, harddrinks, soysaucesandpastes"
275,wildvegetables
276,"chinesecabbages, apple/sweetmelon"
277,koreanbeef
278,banana/importedfruits
279,icecream
280,"icecream, ramen, banana/importedfruits"
281,milk
282,cooky/cakes
283,koreanchicken
284,"frozendumpling, chocolete, seasonings"
285,"beans, eidbleherbs"
286,mushrooms
287,eggs
288,"milk, wastepapers"
289,"chilleddairymilks, chilledseafood, dentalproducts, wastepapers"
290,banana/importedfruits
291,chinesecabbages
292,"processedlivefish, wildvegetables, lattuce, banana/importedfruits"
293,otherlivefish
294,chilledseafood
295,"hairproducts, koreanpork"
296,"fermentedmilk, softdrinks, instantfoods"
297,"chilledagriculturalproducts, chillednoodles, otherlivefish, ketchupandmayoneise"
298,maincereals
299,chilledagriculturalproducts
300,hairproducts
301,bakery
302,"pre-processedsnacks, banana/importedfruits"
303,cooky/cakes
304,"noodles, pear/kiwi/grape"
305,ready-madesnacks
306,wastepapers
307,"eggs, banana/importedfruits"
308,soysaucesandpastes
309,"ramen, snacks, cooky/cakes, softdrinks"
310,otherbeverages
311,"ramen, artificialpowders"
312,"milk, chilledseafood, otherlivefish, bottledfoods, coffee"
313,"minorcereals, icecream, cooky/cakes, eggs, bottledfoods, sanitaryproducts, banana/importedfruits"
314,strawberry/peach/
315,hairproducts
316,"cooky/cakes, harddrinks, cookingoil"
317,"chilleddairymilks, noodles, eggs, rootvegetables, eidbleherbs, bottledfoods, koreanpork"
318,"pre-processedsnacks, othervegetables, beans"
319,"noodles, cooky/cakes, instantfoods"
320,"eggs, banana/importedfruits"
321,banana/importedfruits
322,eggs
323,rootvegetables
324,"icecream, chilledlivestock, otherlivefish, mushrooms, eidbleherbs, softdrinks, banana/importedfruits"
325,cheese/butter
326,fermentedmilk
327,"milk, eggs, strawberry/peach/"
328,"chilledagriculturalproducts, snacks, driedfish, eggs"
329,otherseafoods
330,harddrinks
331,"artificialpowders, fermentedmilk, ramen"
332,otherbeverages
333,dryfruits
334,"chilleddairymilks, softdrinks"
335,snacks
336,"fruitvegetables, rootvegetables, instantfoods"
337,fermentedmilk
338,"beans, softdrinks, laundrydetergent"
339,"fruitvegetables, beans, eidbleherbs, apple/sweetmelon, koreanpork"
340,"cooky/cakes, fruitvegetables, instantfoods, apple/sweetmelon"
341,softdrinks
342,importedbeef
343,"maincereals, driedfish"
344,fruitvegetables
345,"ready-mademeals, otherlivefish"
346,otherlivefish
347,otherreadymadefoods
348,"otherseafoods, banana/importedfruits"
349,"snacks, sanitaryproducts"
350,"frozendumpling, cooky/cakes, softdrinks, dentalproducts, kitchen/housedetergents, wastepapers"
351,otherbeverages
352,pear/kiwi/grape
353,"frozendumpling, bread, chocolete, cooky/cakes"
354,koreanchicken
355,"noodles, cooky/cakes"
356,"pre-processedmeals, snacks, rootvegetables"
357,"milk, chilledagriculturalproducts, artificialpowders"
358,chocolete
359,"chocolete, bottledfoods, cookingoil"
360,harddrinks
361,sweeteners
362,"rootvegetables, apple/sweetmelon"
363,"fruitvegetables, beans"
364,artificialpowders
365,milk
366,mushrooms
367,harddrinks
368,noodles
369,maincereals
370,"otherlivefish, eidbleherbs, soysaucesandpastes"
371,"snacks, softdrinks"
372,"milk, snacks, cereals, chocolete, cooky/cakes"
373,eidbleherbs
374,koreanpork
375,"snacks, otherbeverages, harddrinks"
376,"chilleddairymilks, milk, pre-processedmeals"
377,"snacks, cookingoil"
378,eidbleherbs
379,cookingoil
380,beans
381,"laundrydetergent, cookingoil"
382,ramen
383,"maincereals, koreanconfectionary, rootvegetables"
384,"milk, cereals, cooky/cakes, cheese/butter, snacks, lattuce, dentalproducts, chilledagriculturalproducts, snacks"
385,"laundrydetergent, eggs, coffee"
386,"otherreadymadefoods, bread"
387,"ramen, fruitvegetables, harddrinks, apple/sweetmelon"
388,wastepapers
389,instantfoods
390,"fermentedmilk, beans, mushrooms, dryfruits"
391,"strawberry/peach/, pear/kiwi/grape"
392,ready-madesnacks
393,"chilledagriculturalproducts, ramen"
394,harddrinks
395,"otherbeverages, softdrinks"
396,"frozendumpling, harddrinks"
397,ready-madesidedishes
398,cooky/cakes
399,wastepapers
400,"chillednoodles, lattuce"
401,"eggs, apple/sweetmelon"
402,laundrydetergent
403,fermentedmilk
404,othervegetables
405,"chilledlivestock, beans"
406,"otherlivefish, livefish, fruitvegetables, beans, lattuce, apple/sweetmelon, milk, laundrydetergent, wastepapers"
407,harddrinks
408,harddrinks
409,"otherlivefish, rootvegetables"
410,softdrinks
411,snacks
412,"chinesecabbages, importedbeef"
413,ramen
414,pre-processedsnacks
415,wastepapers
416,apple/sweetmelon
417,bottledfoods
418,candy-gum
419,"fermentedmilk, cheese/butter, chilledagriculturalproducts, snacks, pear/kiwi/grape"
420,"icecream, cooky/cakes"
421,"fermentedmilk, lattuce"
422,"minorcereals, processedlivefish, milk, otherlivefish, pre-processedsnacks"
423,"fermentedmilk, milk, mandarinorange/watermelonandotherfruits"
424,beans
425,hairproducts
426,"otherbeverages, harddrinks"
427,"ramen, harddrinks, pear/kiwi/grape"
428,lattuce
429,koreanbeef
430,eggs
431,koreanchicken
432,"snacks, candy-gum, apple/sweetmelon, koreanbeef"
433,ramen
434,fruitvegetables
435,bottledfoods
436,milk
437,cheese/butter
438,ramen
439,"ramen, eidbleherbs"
440,fruitvegetables
441,hairproducts
442,"frozendumpling, bakery, ramen, otherlivefish, fruitvegetables, soysaucesandpastes"
443,pre-processedsnacks
444,wastepapers
445,"cheese/butter, mandarinorange/watermelonandotherfruits"
446,"ramen, mushrooms"
447,banana/importedfruits
448,"fermentedmilk, othervegetables"
449,"chilledlivestock, softdrinks"
450,milk
451,"ready-madesidedishes, otherlivefish"
452,mushrooms
453,sanitaryproducts
454,pre-processedmeals
455,"otherlivefish, seasonings"
456,"fermentedmilk, chilledagriculturalproducts, pre-processedsnacks, driedfish, eidbleherbs, harddrinks, tomato/plum/melon"
457,"chilledagriculturalproducts, otherbeverages"
458,chilledseafood
459,"rootvegetables, beans, eidbleherbs"
460,cooky/cakes
461,"eggs, banana/importedfruits"
462,milk
463,otherlivefish
464,dentalproducts
465,"pre-processedmeals, otherlivefish, livefish"
466,fruitvegetables
467,ketchupandmayoneise
468,ramen
469,koreanchicken
470,"chilleddairymilks, ramen"
471,ramen
472,chilledlivestock
473,"ketchupandmayoneise, banana/importedfruits"
474,otherbeverages
475,"milk, chilledlivestock"
476,beans
477,"seasonings, banana/importedfruits"
478,harddrinks
479,"ready-mademeals, othervegetables, bottledfoods"
480,"livefish, lattuce"
481,candy-gum
482,otherlivefish
483,"beans, seasonings"
484,"ramen, candy-gum"
485,fermentedmilk
486,"fermentedmilk, bottledfoods"
487,instantfoods
488,otherreadymadefoods
489,milk
490,koreanbeef
491,"ramen, softdrinks, harddrinks"
492,minorcereals
493,chilledlivestock
494,apple/sweetmelon
495,"milk, ready-madesnacks"
496,"minorcereals, bakery, processeddryfoods, bottledfoods"
497,chocolete
498,"otherbeverages, harddrinks"
499,harddrinks
500,othervegetables
501,"chilleddairymilks, softdrinks, kitchen/housedetergents, bottledfoods"
502,apple/sweetmelon
503,bakery
504,"cheese/butter, bread, snacks, cereals, soysaucesandpastes"
505,chilledseafood
506,"milk, chilledseafood, processedlivefish, koreanpork"
507,chillednoodles
508,"fastfoods, instantfoods"
509,"fruitvegetables, mushrooms"
510,chilledseafood
511,cooky/cakes
512,rootvegetables
513,"ready-madesnacks, softdrinks, chillednoodles, cooky/cakes"
514,"fermentedmilk, milk, cheese/butter"
515,"fermentedmilk, milk"
516,"chilledagriculturalproducts, chilledseafood, otherreadymadefoods, otherlivefish, rootvegetables, lattuce, laundrydetergent"
517,"rootvegetables, coffee"
518,"snacks, apple/sweetmelon"
519,soysaucesandpastes
520,processedlivefish
521,snacks
522,snacks
523,"eggs, beans"
524,laundrydetergent
525,mushrooms
526,pre-processedmeals
527,"rootvegetables, beans, softdrinks, banana/importedfruits, seasonedmeat"
528,rootvegetables
529,"otherreadymadefoods, koreanchicken"
530,"cheese/butter, frozendumpling, cooky/cakes, bottledfoods, soysaucesandpastes, ketchupandmayoneise"
531,"snacks, softdrinks"
532,fruitvegetables
533,banana/importedfruits
534,softdrinks
535,"instantfoods, koreanbeef"
536,eggs
537,otherseafoods
538,milk
539,"bakery, cooky/cakes, fruitvegetables, lattuce, otherreadymadefoods, cooky/cakes"
540,"otherlivefish, sanitaryproducts, koreanbeef"
541,"rootvegetables, bottledfoods"
542,"milk, ramen, beans"
543,"frozendumpling, chillednoodles, processeddriedfish, koreanbeef"
544,lattuce
545,fermentedmilk
546,softdrinks
547,"fermentedmilk, milk"
548,frozendumpling
549,fruitvegetables
550,"eggs, tomato/plum/melon"
551,harddrinks
552,lattuce
553,bread
554,pre-processedmeals
555,eidbleherbs
556,"chilledagriculturalproducts, fruitvegetables"
557,"rootvegetables, othervegetables"
558,driedfish
559,chilledlivestock
560,harddrinks
561,"fermentedmilk, coffee, tomato/plum/melon"
562,"minorcereals, chillednoodles, ramen, eggs"
563,ramen
564,"driedfish, beans"
565,pre-processedsnacks
566,"beans, lattuce, apple/sweetmelon, tomato/plum/melon"
567,"minorcereals, ready-madesidedishes"
568,"cooky/cakes, koreanpork, importedbeef"
569,"softdrinks, harddrinks"
570,bottledfoods
571,seasonings
572,"chilleddairymilks, chilledagriculturalproducts, otherlivefish"
573,minorcereals
574,otherlivefish
575,"cooky/cakes, eidbleherbs"
576,softdrinks
577,bakery
578,"fermentedmilk, beans, harddrinks"
579,banana/importedfruits
580,"chocolete, softdrinks"
581,milk
582,"chilledseafood, sanitaryproducts, koreanchicken"
583,"driedfish, eggs"
584,banana/importedfruits
585,ramen
586,othervegetables
587,cookingoil
588,"fermentedmilk, coffee"
589,koreanbeef
590,"cooky/cakes, banana/importedfruits, dryfruits"
591,instantfoods
592,fermentedmilk
593,othervegetables
594,beans
595,"ready-madesidedishes, cookingoil, banana/importedfruits"
596,strawberry/peach/
597,chilledagriculturalproducts
598,"snacks, candy-gum, coffee, tomato/plum/melon"
599,"soysaucesandpastes, strawberry/peach/"
600,"eidbleherbs, cookingoil"
601,beans
602,"driedfish, lattuce"
603,tomato/plum/melon
604,rootvegetables
605,ramen
606,eggs
607,koreanpork
608,"eggs, coffee, importedbeef"
609,cooky/cakes
610,"chilledagriculturalproducts, eidbleherbs"
611,harddrinks
612,beans
613,banana/importedfruits
614,milk
615,harddrinks
616,dentalproducts
617,"lattuce, koreanchicken"
618,"ready-madesnacks, otherreadymadefoods"
619,"frozendumpling, eidbleherbs"
620,"othervegetables, chinesecabbages, ketchupandmayoneise, koreanpork"
621,kitchen/housedetergents
622,"cheese/butter, harddrinks"
623,"otherreadymadefoods, otherlivefish, otherseafoods"
624,"cooky/cakes, otherlivefish"
625,beans
626,fermentedmilk
627,otherseafoods
628,ready-mademeals
629,"wastepapers, minorcereals, milk, ramen, snacks"
630,seasonings
631,"milk, otherreadymadefoods"
632,otherbeverages
633,"milk, ready-madesnacks"
634,noodles
635,"chilledseafood, bread"
636,babyproducts
637,fermentedmilk
638,"livefish, wastepapers, dryfruits, pear/kiwi/grape, koreanpork"
639,pear/kiwi/grape
640,sanitaryproducts
641,harddrinks
642,milk
643,softdrinks
644,"chilledseafood, softdrinks"
645,cooky/cakes
646,eidbleherbs
647,"snacks, tomato/plum/melon"
648,bread
649,ramen
650,milk
651,"maincereals, fermentedmilk, cooky/cakes"
652,otherreadymadefoods
653,"chilledseafood, driedfish, rootvegetables"
654,"sweeteners, seasonings"
655,cookingoil
656,ketchupandmayoneise
657,"otherseafoods, mushrooms, eidbleherbs"
658,"milk, othervegetables, mushrooms, instantfoods, seasonings"
659,"milk, chilledlivestock, candy-gum, cooky/cakes"
660,eidbleherbs
661,"koreanchicken, softdrinks, koreanchicken"
662,"eidbleherbs, koreanbeef"
663,"otherlivefish, coffee"
664,bread
665,otherlivefish
666,maincereals
667,koreanpork
668,"ramen, lattuce, artificialpowders"
669,milk
670,otherbeverages
671,"eidbleherbs, koreanbeef"
672,milk
673,ramen
674,"rootvegetables, artificialpowders"
675,"eggs, fruitvegetables"
676,otherlivefish
677,"otherlivefish, lattuce, koreanbeef"
678,"mushrooms, koreanbeef"
679,"chilledseafood, snacks"
680,milk
681,soysaucesandpastes
682,harddrinks
683,"snacks, instantfoods, importedbeef"
684,"chilledlivestock, lattuce"
685,"livefish, softdrinks, harddrinks"
686,otherseafoods
687,"snacks, softdrinks, instantfoods"
688,"othervegetables, mushrooms, soysaucesandpastes"
689,koreanchicken
690,fermentedmilk
691,"chilledagriculturalproducts, chillednoodles, softdrinks, banana/importedfruits"
692,otherbeverages
693,chilleddairymilks
694,"chilledseafood, cereals, cooky/cakes"
695,processedlivefish
696,snacks
697,softdrinks
698,pre-processedmeals
699,rootvegetables
700,"otherbeverages, harddrinks"
701,"fastfoods, softdrinks, harddrinks, tomato/plum/melon"
702,bakery
703,"candy-gum, cooky/cakes"
704,softdrinks
705,"frozenmeat, snacks"
706,"snacks, mushrooms"
707,ketchupandmayoneise
708,driedfish
709,"chilledagriculturalproducts, strawberry/peach/"
710,fruitvegetables
711,seasonings
712,"chilledlivestock, instantfoods"
713,"pre-processedmeals, chocolete, eggs, importedbeef"
714,chocolete
715,ready-madesnacks
716,softdrinks
717,"chilledlivestock, fruitvegetables"
718,coffee
719,otherseafoods
720,"softdrinks, banana/importedfruits"
721,apple/sweetmelon
722,banana/importedfruits
723,softdrinks
724,"fermentedmilk, fruitvegetables, rootvegetables, seasonings"
725,"othervegetables, koreanbeef"
726,"fruitvegetables, lattuce, cookingoil, fruitvegetables, lattuce"
727,milk
728,"chilledagriculturalproducts, softdrinks"
729,mandarinorange/watermelonandotherfruits
730,chilledlivestock
731,sweeteners
732,"rootvegetables, lattuce"
733,"chilledseafood, eidbleherbs, harddrinks, koreanchicken, milk, snacks, harddrinks, banana/importedfruits"
734,"cooky/cakes, banana/importedfruits"
735,"eidbleherbs, bottledfoods"
736,importedbeef
737,"livefish, chinesecabbages, beans"
738,wastepapers
739,softdrinks
740,icecream
741,"chilleddairymilks, snacks, otherlivefish"
742,fermentedmilk
743,wildvegetables
744,chilleddairymilks
745,"ramen, snacks"
746,harddrinks
747,pear/kiwi/grape
748,chilledagriculturalproducts
749,fermentedmilk
750,softdrinks
751,beans
752,"cooky/cakes, mushrooms, artificialpowders"
753,"cooky/cakes, bottledfoods"
754,"cereals, bottledfoods"
755,eidbleherbs
756,otherreadymadefoods
757,"livefish, tomato/plum/melon"
758,lattuce
759,"snacks, cooky/cakes, otherseafoods, rootvegetables"
760,"milk, laundrydetergent"
761,"ramen, harddrinks, wastepapers"
762,ramen
763,harddrinks
764,artificialpowders
765,bread
766,cooky/cakes
767,"cooky/cakes, banana/importedfruits"
768,fruitvegetables
769,"mushrooms, importedbeef"
770,strawberry/peach/
771,fruitvegetables
772,eidbleherbs
773,koreanpork
774,softdrinks
775,"otherreadymadefoods, mushrooms"
776,cooky/cakes
777,cooky/cakes
778,"milk, eidbleherbs"
779,fermentedmilk
780,bottledfoods
781,candy-gum
782,bread
783,"ramen, snacks"
784,milk
785,harddrinks
786,fermentedmilk
787,"fastfoods, ready-mademeals"
788,"fermentedmilk, milk"
789,cooky/cakes
790,otherlivefish
791,"rootvegetables, mushrooms, lattuce, koreanpork"
792,cooky/cakes
793,"rootvegetables, snacks"
794,ramen
795,softdrinks
796,"eidbleherbs, strawberry/peach/"
797,milk
798,"snacks, softdrinks"
799,maincereals
800,fruitvegetables
801,"chillednoodles, cookingoil"
802,"milk, strawberry/peach/"
803,fruitvegetables
804,"fruitvegetables, beans, bottledfoods"
805,"driedfish, dentalproducts, wastepapers"
806,softdrinks
807,"milk, koreanpork"
808,"cheese/butter, chilledagriculturalproducts, chilledlivestock, othervegetables, koreanpork"
809,"fermentedmilk, dentalproducts"
810,beans
811,snacks
812,"chilledagriculturalproducts, eggs, softdrinks"
813,mushrooms
814,ketchupandmayoneise
815,dentalproducts
816,"rootvegetables, pear/kiwi/grape, apple/sweetmelon"
817,"laundrydetergent, apple/sweetmelon"
818,bread
819,frozendumpling
820,"chilledagriculturalproducts, snacks"
821,ready-madesidedishes
822,seasonings
823,chocolete
824,"rootvegetables, soysaucesandpastes"
825,driedfish
826,ketchupandmayoneise
827,snacks
828,importedbeef
829,otherseafoods
830,harddrinks
831,ramen
832,"chilledagriculturalproducts, beans"
833,chilledlivestock
834,"mushrooms, lattuce"
835,"ramen, beans"
836,banana/importedfruits
837,cooky/cakes
838,cooky/cakes
839,"fermentedmilk, fruitvegetables"
840,"cooky/cakes, eggs, apple/sweetmelon"
841,"milk, noodles, instantfoods, laundrydetergent"
842,"snacks, cereals"
843,fruitvegetables
844,"eidbleherbs, banana/importedfruits"
845,"minorcereals, lattuce"
846,bread
847,"fruitvegetables, eidbleherbs, laundrydetergent"
848,"otherbeverages, harddrinks"
849,ramen
850,"milk, cooky/cakes"
851,"processeddryfoods, soysaucesandpastes"
852,harddrinks
853,"bread, wastepapers"
854,dentalproducts
855,"milk, dryfruits"
856,"eggs, wastepapers"
857,"fermentedmilk, harddrinks, mandarinorange/watermelonandotherfruits, chilleddairymilks, chilledseafood, mandarinorange/watermelonandotherfruits, harddrinks"
858,coffee
859,"laundrydetergent, kitchen/housedetergents"
860,"chilledlivestock, driedfish"
861,"strawberry/peach/, pear/kiwi/grape"
862,"minorcereals, snacks, cooky/cakes"
863,"otherlivefish, ketchupandmayoneise"
864,koreanpork
865,bakery
866,rootvegetables
867,chilledseafood
868,tomato/plum/melon
869,snacks
870,"milk, chilledagriculturalproducts"
871,"cooky/cakes, harddrinks, bottledfoods, pear/kiwi/grape"
872,tomato/plum/melon
873,chilleddairymilks
874,fermentedmilk
875,"maincereals, cereals, banana/importedfruits"
876,ramen
877,"snacks, softdrinks"
878,beans
879,"otherlivefish, harddrinks"
880,harddrinks
881,cooky/cakes
882,"fermentedmilk, ketchupandmayoneise"
883,"milk, fruitvegetables"
884,chilleddairymilks
885,chilledseafood
886,tomato/plum/melon
887,otherbeverages
888,othervegetables
889,softdrinks
890,"ready-madesnacks, ramen"
891,otherlivefish
892,"cereals, banana/importedfruits, pear/kiwi/grape"
893,"rootvegetables, lattuce, tomato/plum/melon"
894,"rootvegetables, beans"
895,chillednoodles
896,bread
897,softdrinks
898,"livefish, mushrooms, seasonings"
899,"fermentedmilk, snacks"
900,tomato/plum/melon
901,"laundrydetergent, kitchen/housedetergents"
902,"noodles, otherseafoods"
903,softdrinks
904,banana/importedfruits
905,ramen
906,apple/sweetmelon
907,"ramen, instantfoods"
908,"noodles, snacks, koreanpork, importedbeef"
909,sanitaryproducts
910,"cooky/cakes, rootvegetables"
911,"mushrooms, babyproducts"
912,"eidbleherbs, harddrinks"
913,"mushrooms, sweeteners"
914,"eidbleherbs, laundrydetergent, banana/importedfruits"
915,rootvegetables
916,"ramen, candy-gum, cooky/cakes"
917,"cooky/cakes, eggs, eidbleherbs"
918,"chilledseafood, beans"
919,eggs
920,"fermentedmilk, kitchen/housedetergents"
921,beans
922,snacks
923,"chilledseafood, eidbleherbs"
924,"milk, strawberry/peach/, banana/importedfruits"
925,"eggs, softdrinks, seasonedmeat"
926,ketchupandmayoneise
927,otherseafoods
928,softdrinks
929,"chillednoodles, chilledseafood, beans, harddrinks"
930,"ramen, snacks, softdrinks"
931,softdrinks
