"","x"
"debera",0.00108351042457194
"recommendthe",0.000983646337643748
"parece",0.00090887849272855
"tuve",0.000728812203645213
"everywhete",0.000590010527492369
"ofertar",0.000493997282324766
"survivedlots",0.000472874398354257
"compatibilityclose",0.000438500717782844
"weigth",0.000422076968919299
"desktopin",0.000377869457527694
"prodic",0.000183767174645476
"parte",0.000161138061817275
"desbloqueado",0.00013459515622197
"toygood",0.000120027404929385
"dialercompatible",1.67361456289973e-05
"desbloqueo",1.14560695338125e-05
